sep=,
name,price,Clean_Name,Cleaned_Price,Cleaned_Reviews
"Monster Abra A5 V20.6.2 Intel Core I7 13620H 32 GB Ram 1 Tb SSD 4 GB Rtx 3050 Freedos 15,6"" Fhd 144 Hz Taşınabilir Bilgisayar",44647.24,"Monster Abra A5 V20.6.2 Intel Core I7 13620H 32 GB Ram 1 Tb SSD 4 GB Rtx 3050 Freedos 15,6"" Fhd 144 Hz Taşınabilir Bilgisayar",44647.24,
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",21999.0,"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",21999.0,
"Monster Tulpar T6 V3.3.2 Intel Core I7 13700HX 32 GB Ram 1 Tb SSD 8 GB Rtx 5060 Freedos 16"" Fhd+ 165 Hz Oyun Bilgisayarı",71998.89,"Monster Tulpar T6 V3.3.2 Intel Core I7 13700HX 32 GB Ram 1 Tb SSD 8 GB Rtx 5060 Freedos 16"" Fhd+ 165 Hz Oyun Bilgisayarı",71998.89,
"HP 15 FC0059NT AMD Ryzen 7 7730U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EA",19999.0,"HP 15 FC0059NT AMD Ryzen 7 7730U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EA",19999.0,
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5 13420H 16GB 1TB SSD Freedos 16"" Wuxga 83K20077TR",22999.0,"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5 13420H 16GB 1TB SSD Freedos 16"" Wuxga 83K20077TR",22999.0,
"Monster Abra A5 V20.5.2 Intel Core I5 13420H 32 GB Ram 1 Tb SSD 4 GB Rtx 3050 Freedos 15,6"" Fhd 144 Hz Taşınabilir Bilgisayar",45443.33,"Monster Abra A5 V20.5.2 Intel Core I5 13420H 32 GB Ram 1 Tb SSD 4 GB Rtx 3050 Freedos 15,6"" Fhd 144 Hz Taşınabilir Bilgisayar",45443.33,
"Acer Aspire Lite AL15-71P Intel Core i5 12450H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar NX.J7MEY.001",17299.0,"Acer Aspire Lite AL15-71P Intel Core i5 12450H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar NX.J7MEY.001",17299.0,
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gümüş MW0W3TU/A",44548.64,"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gümüş MW0W3TU/A",44548.64,
"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",20290.0,"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",20290.0,
"Huawei Matebook D14 2024 Intel Core Intel Core i5 12450H 16GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",27264.05,"Huawei Matebook D14 2024 Intel Core Intel Core i5 12450H 16GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",27264.05,
"MSI VECTOR 17 HX AI A2XWHG-086TR Intel Core Ultra 7 255HX 32GB 1TB SSD RTX5070Ti Windows 11 Home 17"" QHD+ 240Hz Taşınabilir Bilgisayar",103495.6,"MSI VECTOR 17 HX AI A2XWHG-086TR Intel Core Ultra 7 255HX 32GB 1TB SSD RTX5070Ti Windows 11 Home 17"" QHD+ 240Hz Taşınabilir Bilgisayar",103495.6,
